actor,character,season,episode
Eddie Paskey,Lt. Leslie (uncredited),1,16
Ron Veto,Crewman (uncredited),1,16
William Shatner,Captain James T. Kirk,1,17
Leonard Nimoy,Mr. Spock,1,17
William Campbell,Trelane,1,17
DeForest Kelley,Dr. McCoy,1,17
Richard Carlyle,Lt. Karl Jaeger,1,17
Nichelle Nichols,Uhura,1,17
George Takei,Sulu,1,17
James Doohan,Scott,1,17
Michael Barrier,Lt. DeSalle,1,17
Venita Wolf,Yeoman Teresa Ross,1,17
Barbara Babcock,Trelane's Mother (voice) (uncredited),1,17
Bill Blackburn,Lt. Hadley (uncredited),1,17
Frank da Vinci,Lt. Brent (uncredited),1,17
Bart La Rue,Trelane's Father (voice) (uncredited),1,17
Eddie Paskey,Lt. Leslie (uncredited),1,17
William Shatner,Captain James T. Kirk,1,18
Leonard Nimoy,Mr. Spock,1,18
DeForest Kelley,Dr. McCoy,1,18
George Takei,Sulu,1,18
James Doohan,Scott,1,18
Nichelle Nichols,Uhura,1,18
Jerry Ayres,O'Herlihy,1,18
Grant Woods,Lieutenant Kelowitz,1,18
Tom Troupe,Lt. Harold,1,18
James Farley,Lt. Commander Lang,1,18
Carolyne Barry,Metron (as Carole Shelyne),1,18
Sean Kenney,DePaul,1,18
Bill Blackburn,Gorn (uncredited),1,18
Ted Cassidy,Gorn (voice) (uncredited),1,18
Bobby Clark,Gorn (uncredited),1,18
Gary Combs,Gorn (uncredited),1,18
Frank da Vinci,Lt. Brent (uncredited),1,18
Eddie Paskey,Lt. Leslie (uncredited),1,18
Vic Perrin,Metron (voice) (uncredited),1,18
Ron Veto,Crewman (uncredited),1,18
William Shatner,Captain James T. Kirk,1,19
Leonard Nimoy,Mr. Spock,1,19
Roger Perry,Captain John Christopher,1,19
DeForest Kelley,Dr. McCoy,1,19
Hal Lynch,Air Police Sergeant,1,19
Dick Merrifield,Technician Webb (as Richard Merrifield),1,19
John Winston,Lt. Kyle,1,19
Ed Peck,Col. Fellini,1,19
James Doohan,Scott,1,19
George Takei,Sulu,1,19
Nichelle Nichols,Uhura,1,19
Mark Dempsey,Air Force Captain,1,19
Jim Spencer,Air Policeman,1,19
Sherri Townsend,Crew Woman,1,19
Majel Barrett,Enterprise Computer (voice) (uncredited),1,19
Bill Blackburn,Engineer (uncredited),1,19
Frank da Vinci,Brent (uncredited),1,19
Eddie Paskey,Lt. Leslie (uncredited),1,19
William Shatner,Captain James T. Kirk,1,20
Leonard Nimoy,Mr. Spock,1,20
Percy Rodrigues,Portmaster Stone (as Percy Rodriguez),1,20
Elisha Cook Jr.,Samuel T. Cogley (as Elisha Cook),1,20
Joan Marshall,Areel Shaw,1,20
DeForest Kelley,Dr. McCoy,1,20
Nichelle Nichols,Uhura,1,20
Richard Webb,Finney,1,20
Hagan Beggs,Lt. Hansen,1,20
Win De Lugo,Mike Timothy (as Winston DeLugo),1,20
Alice Rawlings,Jame Finney,1,20
Nancy Wong,Personnel Officer,1,20
Bart Conrad,Krasnovsky,1,20
William Meader,Captain Lindstrom,1,20
Reginald Lal Singh,Captain Chandra,1,20
Majel Barrett,Enterprise Computer (voice) (uncredited),1,20
Bill Blackburn,Lt. Hadley (uncredited),1,20
Tom Curtis,Corrigan (uncredited),1,20
Frank da Vinci,Lt. Brent (uncredited),1,20
William Shatner,Captain James T. Kirk,1,21
Leonard Nimoy,Mr. Spock,1,21
Harry Townes,Reger,1,21
Torin Thatcher,Marplon,1,21
DeForest Kelley,Dr. McCoy,1,21
Brioni Farrell,Tula,1,21
Sid Haig,First Lawgiver,1,21
Charles Macaulay,Landru,1,21
Jon Lormer,Tamar,1,21
Morgan Farley,Hacom,1,21
Karl Held,Lindstrom (as Christopher Held),1,21
George Takei,Sulu,1,21
James Doohan,Scott,1,21
Nichelle Nichols,Uhura,1,21
Sean Morgan,Lt. O'Neil,1,21
Lev Mailer,Bilar (as Ralph Maurer),1,21
David L. Ross,Lt. Galloway,1,21
Bill Blackburn,Lt. Hadley (uncredited),1,21
Bobby Clark,Betan townsperson (uncredited),1,21
Frank da Vinci,Brent (uncredited),1,21
Eddie Paskey,Lt. Leslie (uncredited),1,21
Ron Veto,Harrison (uncredited),1,21
William Shatner,Captain James T. Kirk,1,22
Leonard Nimoy,Mr. Spock,1,22
Ricardo Montalban,Khan,1,22
Madlyn Rhue,Lt. Marla McGivers,1,22
DeForest Kelley,Dr. McCoy,1,22
